Date,Open,High,Low,Close,Volume,Year,Returns,MA_7,MA_30,MA_90,MA_200,Month,MonthName,Volatility_20,Volatility_60,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Close_Lag_7,Close_Lag_14,Close_Lag_21,Close_Lag_30,Price_Change_1d,Price_Change_7d,Price_Change_30d,Pct_Change_1d,Pct_Change_7d,Pct_Change_30d,Rolling_Mean_7,Rolling_Std_7,Rolling_Min_7,Rolling_Max_7,Rolling_Mean_14,Rolling_Std_14,Rolling_Min_14,Rolling_Max_14,Rolling_Mean_30,Rolling_Std_30,Rolling_Min_30,Rolling_Max_30,Rolling_Mean_60,Rolling_Std_60,Rolling_Min_60,Rolling_Max_60,Momentum_7,Momentum_14,Momentum_30,RSI_14,EMA_12,EMA_26,MACD,MACD_Signal,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,DayOfWeek,DayOfMonth,WeekOfYear,Quarter
2016-12-06,16.84000015258789,16.860000610351562,16.739999771118164,16.739999771118164,268,2016,-0.49928457418134675,16.626999718802317,17.329099782307942,18.447799936930338,17.63021499633789,12,December,3870.28164171511,2962.1879429357327,16.823999404907227,16.753000259399414,16.427000045776367,16.660999298095703,16.464000701904297,17.02899932861328,18.382999420166016,17.447999954223633,-0.0839996337890625,0.2759990692138672,-0.7080001831054688,-0.49928457418134675,1.676379114718718,-4.057772724455355,16.626999718802317,0.16322363961158196,16.4060001373291,16.823999404907227,16.618499755859375,0.1661109632579881,16.382999420166016,16.913999557495117,17.329099782307942,0.789910347167217,16.382999420166016,18.715999603271484,17.89123322168986,1.015913776217104,16.382999420166016,20.020000457763672,0.2759990692138672,-0.2889995574951172,-0.7080001831054688,42.40672975056103,16.753435201161036,17.089171018793067,-0.3357358176320311,-0.3718276681160292,17.004599857330323,0.7337800257140589,18.472159908758442,15.537039805902205,0.17260741960893414,1,6,49,4
2016-12-07,16.665000915527344,17.202999114990234,16.645000457763672,17.202999114990234,40,2016,2.7658264647702824,16.71628543308803,17.317133076985677,18.41494437323676,17.640334992408754,12,December,4018.6583872138954,3012.0012643280393,16.739999771118164,16.823999404907227,16.753000259399414,16.4060001373291,16.577999114990234,16.913999557495117,18.341999053955078,17.562000274658203,0.4629993438720703,0.625,-0.35900115966796875,2.7658264647702824,3.7700569029157416,-2.0441928826638534,16.71628543308803,0.2687695459480094,16.4060001373291,17.202999114990234,16.63914258139474,0.21609482927300852,16.382999420166016,17.202999114990234,17.317133076985677,0.7889791531306077,16.382999420166016,18.715999603271484,17.856583213806154,1.0030476014770537,16.382999420166016,20.020000457763672,0.625,0.2889995574951172,-0.35900115966796875,56.419366346063406,16.822598880211682,17.097602729622487,-0.2750038494108047,-0.35246290437498434,16.958549785614014,0.6872570028255006,18.333063791265015,15.584035779963013,0.16210277683260454,2,7,49,4
2016-12-08,17.100000381469727,17.110000610351562,16.9950008392334,17.024999618530273,75,2016,-1.0347003756156492,16.768285478864396,17.293433062235515,18.37842214372423,17.649284992218018,12,December,3994.6771621611424,2995.888787459044,17.202999114990234,16.739999771118164,16.823999404907227,16.427000045776367,16.660999298095703,16.76099967956543,18.124000549316406,17.736000061035156,-0.17799949645996094,0.3640003204345703,-0.7110004425048828,-1.0347003756156492,2.1847448278577986,-4.008798150981652,16.768285478864396,0.2906149431866382,16.4060001373291,17.202999114990234,16.657999719892228,0.23795909399935705,16.382999420166016,17.202999114990234,17.293433062235515,0.7866383453398984,16.382999420166016,18.715999603271484,17.825083192189535,0.9989139282054491,16.382999420166016,20.020000457763672,0.3640003204345703,0.26399993896484375,-0.7110004425048828,55.79965439738267,16.85373745533762,17.092224721393436,-0.2384872660558166,-0.3296677767111508,16.893299770355224,0.60751913029951,18.108338030954243,15.678261509756204,0.14384854079617984,3,8,49,4
2016-12-09,16.979999542236328,17.020000457763672,16.81999969482422,16.89699935913086,186,2016,-0.7518370764607596,16.838428224836075,17.270499738057456,18.338777690463594,17.6573099899292,12,December,3992.96966278565,2998.3584156776465,17.024999618530273,17.202999114990234,16.739999771118164,16.753000259399414,16.4060001373291,16.613000869750977,18.329999923706055,17.584999084472656,-0.12800025939941406,0.4909992218017578,-0.6879997253417969,-0.7518370764607596,2.992802741020162,-3.9124240043281633,16.838428224836075,0.24413754040669172,16.427000045776367,17.202999114990234,16.678285326276505,0.24580382185390073,16.382999420166016,17.202999114990234,17.270499738057456,0.7878729006397455,16.382999420166016,18.715999603271484,17.791866525014242,0.9960345562439092,16.382999420166016,20.020000457763672,0.4909992218017578,0.2839984893798828,-0.6879997253417969,56.294296635167775,16.860393132844273,17.07776358344806,-0.2173704506037879,-0.3072083114896782,16.82029972076416,0.5007113115321654,17.821722343828494,15.818877097699831,0.1190731009184224,4,9,49,4
2016-12-12,16.829999923706055,17.145000457763672,16.829999923706055,17.115999221801758,104,2016,1.296087299385218,16.93685667855399,17.25423304239909,18.299333233303493,17.667064986228944,12,December,3948.371819337246,3010.4620758271412,16.89699935913086,17.024999618530273,17.202999114990234,16.823999404907227,16.427000045776367,16.511999130249023,18.35700035095215,17.604000091552734,0.21899986267089844,0.6889991760253906,-0.48800086975097656,1.296087299385218,4.1943092110877656,-2.772102176852087,16.93685667855399,0.18146359604521511,16.739999771118164,17.202999114990234,16.721428189958846,0.26650700764727986,16.382999420166016,17.202999114990234,17.25423304239909,0.7857848543275092,16.382999420166016,18.715999603271484,17.76076650619507,0.9873380649406575,16.382999420166016,20.020000457763672,0.6889991760253906,0.6040000915527344,-0.48800086975097656,62.72116517147682,16.89971714653004,17.080595852955742,-0.1808787064257018,-0.2819423904768829,16.740299701690674,0.24379506296212194,17.227889827614916,16.25270957576643,0.05825345240085502,0,12,50,4
2016-12-13,17.075000762939453,17.149999618530273,16.764999389648438,16.910999298095703,201,2016,-1.1977093539764394,16.959427969796316,17.22586638132731,18.260166549682616,17.678174982070924,12,December,1852.2158880832187,3018.035109992902,17.115999221801758,16.89699935913086,17.024999618530273,16.739999771118164,16.753000259399414,16.62299919128418,18.715999603271484,17.761999130249023,-0.2049999237060547,0.15799903869628906,-0.8509998321533203,-1.1977093539764394,0.9431089133281834,-4.791126414954339,16.959427969796316,0.16374441419447755,16.739999771118164,17.202999114990234,16.741999626159668,0.26942419628411285,16.382999420166016,17.202999114990234,17.22586638132731,0.7821746930033553,16.382999420166016,18.715999603271484,17.726633167266847,0.9805894751236984,16.382999420166016,20.020000457763672,0.15799903869628906,0.28800010681152344,-0.8509998321533203,55.83469416302598,16.901452862155526,17.06803314518833,-0.16658028303280403,-0.25886996898806713,16.741999626159668,0.2449143767089922,17.231828379577653,16.252170872741683,0.05851496408500918,1,13,50,4
2016-12-14,17.139999389648438,17.152000427246094,16.799999237060547,17.152000427246094,164,2016,1.4251146540910087,17.00628525870187,17.205533091227213,18.224010997348362,17.689454984664916,12,December,1894.299803737112,3031.234277968059,16.910999298095703,17.115999221801758,16.89699935913086,17.202999114990234,16.823999404907227,16.382999420166016,16.87700080871582,17.761999130249023,0.24100112915039062,0.3280010223388672,-0.6099987030029297,1.4251146540910087,1.9496019611317639,-3.434290805498863,17.00628525870187,0.16545261939833114,16.739999771118164,17.202999114990234,16.79692826952253,0.2689926357281698,16.4060001373291,17.202999114990234,17.205533091227213,0.7756584485408028,16.382999420166016,18.715999603271484,17.699483172098795,0.9734272247289495,16.382999420166016,20.020000457763672,0.3280010223388672,0.7690010070800781,-0.6099987030029297,65.57313981209239,16.93999864140023,17.074252943859275,-0.1342543024590448,-0.23394683568226268,16.74814968109131,0.25388075844112046,17.25591119797355,16.24038816420907,0.06063493896946767,2,14,50,4
2016-12-15,16.5,16.5,15.890000343322754,15.897000312805176,420,2016,-7.316931455105024,16.885856764657156,17.122599760691326,18.180866548750135,17.695274987220763,12,December,3226.667784365845,3329.043648845877,17.152000427246094,16.910999298095703,17.115999221801758,17.024999618530273,16.739999771118164,16.464000701904297,17.02899932861328,18.385000228881836,-1.255000114440918,-0.8429994583129883,-2.48799991607666,-7.316931455105024,-5.035839126876396,-13.532770655983716,16.885856764657156,0.45135562303001253,15.897000312805176,17.202999114990234,16.756428241729736,0.35265013447325927,15.897000312805176,17.202999114990234,17.122599760691326,0.7782055401519725,15.897000312805176,18.715999603271484,17.644333187739054,0.9803400939846519,15.897000312805176,20.020000457763672,-0.8429994583129883,-0.5670003890991211,-2.48799991607666,42.21794003548206,16.779537360077914,16.987049045262673,-0.20751168518475893,-0.22865980558276194,16.69729971885681,0.3137119063116305,17.32472353148007,16.069875906233552,0.07515272806832224,3,15,50,4
2016-12-16,16.0,16.152999877929688,16.0,16.152999877929688,135,2016,1.6103639685928872,16.73585687364851,17.039033095041912,18.1406998846266,17.701024985313417,12,December,3286.0160885755213,3351.537749341393,15.897000312805176,17.152000427246094,16.910999298095703,16.89699935913086,17.202999114990234,16.577999114990234,16.913999557495117,18.65999984741211,0.2559995651245117,-1.0499992370605469,-2.506999969482422,1.6103639685928872,-6.103582462813739,-13.435155358964856,16.73585687364851,0.5002218783659526,15.897000312805176,17.152000427246094,16.72607115336827,0.3859149590507152,15.897000312805176,17.202999114990234,17.039033095041912,0.7411439270326261,15.897000312805176,18.715999603271484,17.59363319079081,0.9774423069009778,15.897000312805176,20.020000457763672,-1.0499992370605469,-0.4249992370605469,-2.506999969482422,44.38574018017274,16.683146978208956,16.92526762546023,-0.2421206472512729,-0.23135197391646417,16.666899728775025,0.3358891959350059,17.338678120645035,15.995121336905013,0.08061227976432842,4,16,50,4
2016-12-19,16.0,16.025999069213867,15.979999542236328,16.025999069213867,9,2016,-0.7862366722935832,16.59314250946045,16.96046641667684,18.098610994550917,17.705499982833864,12,December,3283.3850485171865,3300.94425068161,16.152999877929688,15.897000312805176,17.152000427246094,17.115999221801758,17.024999618530273,16.660999298095703,16.76099967956543,18.382999420166016,-0.1270008087158203,-0.9990005493164062,-2.3570003509521484,-0.7862366722935832,-5.86784476769725,-12.821630992201072,16.59314250946045,0.5445264629252997,15.897000312805176,17.152000427246094,16.680713994162424,0.42905615494362054,15.897000312805176,17.202999114990234,16.96046641667684,0.7183397059858934,15.897000312805176,18.715999603271484,17.5326331615448,0.9586751853427958,15.897000312805176,20.020000457763672,-0.9990005493164062,-0.6350002288818359,-2.3570003509521484,41.70801166427065,16.58204729990202,16.858655139812353,-0.27660783991033355,-0.24040314711523808,16.63754963874817,0.36521295155606615,17.3679755418603,15.907123735636036,0.08780450474642013,0,19,51,4
